Year,Series,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,Units,Value
2020,SG_DMK_PARLCC_LC,,F,_U,PC_DEFENCE,NUMBER,1.0
2020,SG_DMK_PARLCC_LC,,F,_U,PC_FOR_AFF,NUMBER,1.0
2020,SG_DMK_PARLCC_LC,,F,_U,PC_GEN_EQU,NUMBER,1.0
2020,SG_DMK_PARLCC_LC,,M,_U,PC_FINANCE,NUMBER,1.0
2020,SG_DMK_PARLCC_LC,,M,_U,PC_HUM_RIGH,NUMBER,1.0
2020,SG_DMK_PARLCC_UC,,_U,_U,PC_DEFENCE,NUMBER,1.0
2020,SG_DMK_PARLCC_UC,,_U,_U,PC_FINANCE,NUMBER,1.0
2020,SG_DMK_PARLCC_UC,,_U,_U,PC_FOR_AFF,NUMBER,1.0
2020,SG_DMK_PARLCC_UC,,_U,_U,PC_GEN_EQU,NUMBER,1.0
2020,SG_DMK_PARLCC_UC,,_U,_U,PC_HUM_RIGH,NUMBER,1.0
2020,SG_DMK_PARLMP_LC,,,,,RO,0.558003911803813
2020,SG_DMK_PARLMP_UC,,,,,RO,0.647289703699755
2020,SG_DMK_PARLSP_LC,,_X,_X,,NUMBER,0.0
2020,SG_DMK_PARLSP_UC,,M,Y_GE46,,NUMBER,1.0
